"1","2","3","4","5","6","7","8","9","10"
"1887",94,93,90,86,85,82,81,80,79,76
"1888",90,84,84,78,75,75,72,72,69,69
"1889",97,75,74,72,72,68,68,68,67,67
"1890",107,104,85,81,79,72,72,70,70,67
"1891",87,72,70,67,66,66,65,64,63,62
"1892",86,77,74,70,70,69,69,68,68,66
"1893",94,87,80,72,71,71,70,69,66,65
"1894",67,66,65,64,63,62,61,60,60,59
"1895",105,90,87,80,80,77,77,77,77,75
"1896",115,115,114,106,87,86,78,77,76,75
"1897",97,89,85,81,81,77,72,72,72,72
"1898",103,92,86,86,85,82,82,80,78,78
"1899",90,73,72,70,68,67,66,66,65,64
"1900",98,97,96,93,90,90,86,85,83,80
"1901",101,92,92,92,91,87,84,80,80,78
"1902",83,73,66,66,66,65,64,63,63,62
"1903",130,89,88,87,85,84,83,81,79,77
"1904",97,96,89,87,83,83,80,79,78,74
"1905",100,87,85,83,82,80,79,78,76,75
"1906",118,102,100,96,94,93,90,89,86,84
"1907",89,84,84,81,73,72,72,72,70,70
"1908",77,72,68,67,65,63,62,62,62,61
"1909",95,73,73,71,71,68,67,67,66,66
"1910",115,105,95,90,89,87,86,83,82,81
"1911",95,89,88,86,86,85,82,78,77,77
"1912",87,87,84,83,81,79,74,74,73,73
"1913",95,85,83,78,75,72,71,71,70,69
"1914",114,94,93,82,82,80,79,79,78,76
"1915",99,94,92,90,87,86,82,78,78,78
"1916",136,102,101,101,99,94,94,93,93,89
"1917",107,103,102,93,92,89,89,86,85,83
"1918",82,81,78,77,77,77,76,76,72,71
"1919",106,97,95,92,84,83,82,82,81,81
"1920",111,100,85,84,84,83,82,80,74,71
"1921",65,65,63,63,61,60,60,59,58,58
"1922",106,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1923",105,97,81,80,78,75,73,73,72,71
"1924",70,70,70,69,68,68,66,65,65,64
"1925",96,92,92,87,86,86,79,79,77,76
"1926",94,92,92,90,90,87,87,86,84,84
"1927",111,108,102,100,95,90,88,84,80,80
"1928",110,97,93,91,90,90,89,84,82,80
"1929",90,89,88,78,78,75,73,73,70,70
"1930",100,90,86,85,85,84,83,81,79,78
"1931",103,99,98,96,94,89,86,85,84,79
"1932",78,78,74,73,73,72,71,70,70,69
"1933",121,113,106,105,102,89,89,88,86,85
"1934",116,113,91,91,91,89,88,88,86,81
"1935",115,107,105,101,93,91,NA,NA,NA,NA
"1936",147,106,93,90,87,87,87,84,82,81
"1937",119,107,107,106,105,102,98,95,94,94
"1938",114,97,85,83,82,81,79,76,74,69
"1939",89,86,82,81,80,80,78,78,77,77
"1940",102,101,98,97,96,94,94,91,90,89
"1941",99,98,96,95,94,94,89,88,87,86
"1942",91,91,87,83,83,81,78,75,75,73
"1943",97,88,82,79,78,78,76,76,74,71
"1944",106,95,94,90,89,84,84,83,82,80
"1945",105,102,98,88,86,84,84,80,80,80
"1946",136,104,103,101,100,91,88,84,83,82
"1947",126,108,101,99,98,98,96,96,94,93
"1948",132,126,119,107,101,98,92,86,85,83
"1949",104,102,102,101,93,92,90,88,88,86
"1950",117,96,91,89,88,86,86,86,86,85
"1951",151,117,114,109,106,104,100,99,99,99
"1952",116,104,103,98,91,91,90,90,87,86
"1953",107,102,98,98,92,89,89,89,84,84
"1954",112,100,95,94,94,90,86,82,81,81
"1955",97,96,96,95,94,92,90,90,90,88
"1956",95,91,90,85,85,84,82,82,82,80
"1957",119,107,100,98,98,97,93,92,91,90
"1958",124,114,113,110,108,104,104,102,100,99
"1959",118,117,108,107,105,102,96,96,94,94
"1960",145,126,123,116,114,110,108,108,107,106
"1961",122,108,104,100,100,95,94,93,92,91
"1962",114,110,108,107,106,104,99,99,98,95
"1963",118,116,114,112,110,109,104,103,103,102
"1964",107,104,104,103,102,98,92,90,90,90
"1965",110,108,106,102,101,101,100,98,98,98
"1966",194,127,126,104,103,102,102,99,98,97
"1967",138,118,118,107,100,96,95,93,92,92
"1968",144,132,123,114,112,110,108,107,107,106
"1969",138,120,116,114,108,106,104,103,103,103
"1970",123,122,119,110,105,99,99,97,96,96
"1971",122,116,116,109,104,101,100,100,99,98
"1972",120,118,113,111,96,92,91,91,90,89
"1973",114,111,99,98,97,97,96,92,90,90
"1974",96,95,95,93,92,90,90,89,88,88
"1975",125,110,109,103,102,101,101,97,90,89
"1976",124,122,114,109,108,108,104,104,102,100
"1977",120,102,100,98,96,96,95,94,91,90
"1978",132,114,110,107,105,102,100,100,100,99
"1979",166,140,131,130,122,118,116,115,115,112
"1980",134,114,111,109,107,106,104,103,102,99
"1981",138,136,130,128,119,110,107,104,104,104
"1982",135,128,120,117,114,113,111,108,106,104
"1983",122,105,100,100,100,99,99,98,98,98
"1984",119,118,115,111,105,105,103,102,101,101
"1985",124,103,103,95,95,94,91,91,91,91
"1986",159,114,103,99,99,97,96,95,95,93
"1987",137,130,109,107,100,100,100,97,97,97
"1988",103,97,92,91,87,86,86,86,84,84
"1989",102,99,97,95,94,91,91,91,89,89
"1990",128,116,113,111,111,107,104,103,99,95
"1991",127,107,105,103,101,95,95,95,94,92
"1992",142,132,124,122,118,113,110,105,103,102
"1993",123,112,111,110,103,102,100,99,97,94
"1994",111,105,100,100,98,96,95,91,90,90
"1995",112,107,104,100,100,95,94,93,91,91
"1996",134,128,115,115,111,111,111,110,110,107
"1997",126,123,120,118,112,111,111,110,107,104
"1998",124,113,112,112,105,104,104,104,102,102
"1999",121,116,116,112,110,107,105,104,103,103
"2000",144,124,116,111,111,110,108,108,103,103
"2001",124,115,112,111,110,108,107,103,103,103
"2002",147,126,123,123,122,121,115,113,113,111
"2003",109,108,107,102,101,100,100,100,98,98
"2004",137,128,124,115,115,108,107,106,104,104
"2005",132,101,99,97,96,95,95,94,94,93
"2006",112,105,103,100,98,98,96,93,93,93
